"site","year","med","ci.lo95","ci.hi95","ci.lo50","ci.hi50"
"S22",2013,0.00888871577957529,0.00109525147088286,0.0463853029858714,0.0049395045633901,0.0167836904638439
"S22",2014,0.0947655694701507,0.00413511717807659,0.739341881216549,0.0275504130470381,0.232102268013459
"S22",2015,0.0446421532052248,0.00421520080461371,0.286145966041667,0.0238712825782313,0.0765400722573776
"SM",2006,0.0357682896125013,0.00499901122225963,0.13249996026803,0.0200014164900942,0.0567679879787145
"SM",2007,0.0682890060407919,0.00474063994140892,0.499281845599862,0.0294588758462317,0.152905275245227
"SM",2008,0.260453208137071,0.0228532441232045,0.823132414485506,0.122572425566624,0.44862221954469
"SM",2009,0.238638301896934,0.022817295276251,0.817726941101273,0.120853716422157,0.429636732395021
"SM",2010,0.246268088037251,0.0254871851369212,0.807080080754161,0.130884699962949,0.418804398786107
"SM",2011,0.368730975725313,0.0359219735174087,0.891394148882184,0.191252105510017,0.583789515880435
"SM",2012,0.0256258630243618,0.00379560515963422,0.125178633472378,0.0147093702905562,0.0424711753077025
"SM",2013,0.0493218107599269,0.00364347427738568,0.361083930499392,0.0227999379189163,0.0978353813401071
"SM",2014,0.147539837270878,0.00598869061690089,0.800858826810148,0.0493229881283251,0.312292943060161
"SM",2015,0.116568850365354,0.0205955621351003,0.404903954103879,0.078912549475002,0.16156513613856
"URS",2006,0.116429883352426,0.00829666800056204,0.602983526702666,0.0486821111823637,0.245545337639785
"URS",2007,0.0239138825754732,0.00178277752178716,0.16963554207636,0.0113368961077875,0.0441359299778175
"URS",2008,0.0735420448532213,0.00796455655412126,0.370818357978924,0.0422435464447629,0.12780868012636
"URS",2009,0.046651107342665,0.00454127203415899,0.277049741860389,0.0233775545435316,0.0825876402354223
"URS",2010,0.1616110579738,0.0135068745966441,0.612648863900997,0.0868300198138752,0.258977625009972
"URS",2011,0.317099108085756,0.0237902496317926,0.853085181043984,0.160030980552098,0.507149447718111
"URS",2012,0.0935470188092198,0.00631952340154118,0.582126149120053,0.0449958930980948,0.185351808984025
"URS",2013,0.0327916477915305,0.00227975808998257,0.304959176069238,0.0139758805496517,0.0684584806158471
"URS",2014,0.04835697893205,0.00205838854145334,0.473784507023433,0.0219978690019862,0.124137679640433
"URS",2015,0.0578092347004909,0.00405418492240607,0.461658012596921,0.0234863611366719,0.127890625213754
