"site"	"transect"	"position"	"year"	"seedlingNumber"	"fruitplNumber"
"EC"	"IV"	"8"	2007	0	1
"EC"	"IV"	"8"	2008	2	12
"FR"	"I"	"5"	2016	0	1
"FR"	"II"	"2"	2008	2	3
"FR"	"II"	"3"	2008	0	2
"FR"	"II"	"5"	2014	0	1
"FR"	"II"	"7"	2019	0	1
"FR"	"III"	"5"	2019	0	1
"FR"	"III"	"6"	2007	3	4
"FR"	"III"	"6"	2019	6	8
"FR"	"IV"	"7"	2014	1	2
"FR"	"IV"	"8"	2009	0	2
"FR"	"IV"	"8"	2014	0	1
"GCN"	"I"	"2"	2008	0	2
"GCN"	"I"	"2"	2010	4	6
"GCN"	"I"	"2"	2014	0	1
"GCN"	"I"	"3"	2010	7	10
"GCN"	"I"	"3"	2014	0	1
"GCN"	"I"	"6"	2019	0	1
"GCN"	"I"	"7"	2010	9	10
"GCN"	"II"	"1"	2008	0	1
"GCN"	"II"	"1"	2010	0	2
"GCN"	"II"	"1"	2018	0	1
"GCN"	"II"	"1"	2019	1	3
"GCN"	"II"	"3"	2010	2	6
"GCN"	"II"	"4"	2008	0	2
"GCN"	"II"	"5"	2008	0	1
"GCN"	"II"	"5"	2014	0	4
"GCN"	"II"	"6"	2018	0	2
"GCN"	"III"	"1"	2010	2	6
"GCN"	"III"	"5"	2011	4	5
"GCN"	"III"	"8"	2011	1	4
"GCN"	"IV"	"1"	2010	2	4
"GCN"	"IV"	"1"	2014	0	1
"GCN"	"IV"	"2"	2014	0	2
"GCN"	"IV"	"5"	2010	1	3
"GCN"	"IV"	"5"	2011	28	30
"GCN"	"IV"	"6"	2011	14	15
"GCN"	"IV"	"7"	2011	0	1
"KYE"	"I"	"1"	2010	1	9
"KYE"	"I"	"2"	2010	2	12
"KYE"	"II"	"6"	2008	2	3
"KYE"	"II"	"6"	2010	7	15
"KYE"	"II"	"7"	2008	7	12
"KYE"	"II"	"8"	2008	0	3
"KYE"	"II"	"8"	2010	6	12
"KYE"	"III"	"1"	2008	0	4
"KYE"	"III"	"1"	2010	3	10
"KYE"	"III"	"1"	2019	0	1
"KYE"	"III"	"2"	2008	0	2
"KYE"	"III"	"2"	2010	2	5
"KYE"	"III"	"3"	2008	0	1
"KYE"	"III"	"4"	2008	2	14
"KYE"	"III"	"4"	2010	16	17
"KYE"	"III"	"4"	2018	0	1
"KYE"	"III"	"6"	2010	10	13
"KYE"	"III"	"7"	2008	3	7
"KYE"	"III"	"7"	2010	12	16
"KYE"	"IV"	"3"	2010	3	4
"KYE"	"IV"	"3"	2013	1	2
"KYE"	"IV"	"4"	2010	7	9
"KYE"	"IV"	"4"	2014	0	1
"KYE"	"IV"	"4"	2019	0	2
"KYE"	"IV"	"5"	2010	5	20
"KYE"	"IV"	"5"	2015	1	2
"KYE"	"IV"	"5"	2019	0	1
"KYE"	"IV"	"6"	2007	0	2
"KYE"	"IV"	"6"	2010	8	12
"KYE"	"IV"	"6"	2011	7	9
"LCE"	"I"	"5"	2009	0	1
"LCE"	"I"	"7"	2017	0	2
"LCE"	"I"	"7"	2018	0	1
"LCE"	"II"	"4"	2009	0	1
"LCE"	"II"	"5"	2009	0	1
"LCE"	"II"	"6"	2009	0	1
"LCE"	"III"	"3"	2007	0	1
"LCE"	"III"	"3"	2009	0	2
"LCE"	"III"	"4"	2007	0	1
"LCE"	"III"	"4"	2009	2	13
"LCE"	"III"	"4"	2019	0	2
"LCE"	"III"	"5"	2009	4	8
"LCE"	"III"	"6"	2008	0	17
"LCE"	"III"	"7"	2007	0	1
"LCE"	"III"	"7"	2016	0	1
"LCE"	"III"	"8"	2007	1	3
"LCE"	"IV"	"1"	2018	0	1
"LCE"	"IV"	"3"	2018	0	2
"LCE"	"IV"	"5"	2007	0	1
"LCE"	"IV"	"5"	2018	0	1
"LCE"	"IV"	"6"	2018	0	1
"LCE"	"IV"	"7"	2007	0	6
"LCW"	"II"	"6"	2007	2	3
"LCW"	"II"	"6"	2011	0	1
"LCW"	"III"	"8"	2010	0	1
"LO"	"I"	"4"	2011	0	1
"LO"	"I"	"4"	2019	0	1
"LO"	"I"	"5"	2019	0	1
"LO"	"II"	"1"	2007	0	2
"LO"	"II"	"1"	2011	0	1
"LO"	"II"	"1"	2018	0	1
"LO"	"II"	"2"	2018	0	1
"LO"	"II"	"4"	2019	1	6
"LO"	"II"	"6"	2016	0	1
"LO"	"II"	"6"	2018	0	1
"LO"	"II"	"7"	2008	2	5
"LO"	"III"	"1"	2007	0	4
"LO"	"III"	"1"	2017	0	1
"LO"	"III"	"2"	2019	0	1
"LO"	"III"	"4"	2018	0	1
"LO"	"III"	"5"	2007	0	1
"LO"	"III"	"7"	2008	0	3
"LO"	"III"	"7"	2017	0	1
"LO"	"III"	"7"	2018	2	3
"LO"	"IV"	"1"	2009	5	10
"LO"	"IV"	"2"	2007	0	4
"LO"	"IV"	"2"	2015	0	1
"LO"	"IV"	"3"	2007	0	1
"LO"	"IV"	"4"	2016	0	3
"LO"	"IV"	"5"	2009	31	39
"LO"	"IV"	"7"	2019	0	1
"MC"	"I"	"4"	2014	0	1
"MC"	"I"	"4"	2016	0	1
"MC"	"I"	"7"	2010	0	4
"MC"	"I"	"7"	2017	0	1
"MC"	"II"	"2"	2007	0	1
"MC"	"II"	"3"	2008	0	1
"MC"	"II"	"5"	2010	0	1
"MC"	"III"	"1"	2014	0	1
"MC"	"III"	"2"	2007	0	1
"MC"	"III"	"2"	2009	0	1
"MC"	"III"	"3"	2009	9	11
"MC"	"III"	"3"	2016	1	2
"MC"	"IV"	"3"	2016	1	2
"MC"	"IV"	"5"	2019	0	1
"MC"	"IV"	"7"	2007	13	14
