"site","year","med","ci.lo95","ci.hi95"
"FR",2016,0.0579925209305355,0.00309066759588111,0.478205441441031
"FR",2017,0.110852959568969,0.00924201793689694,0.595567340721147
"FR",2018,0.262409002417666,0.0187691308101044,0.8007144311651
"FR",2019,0.172848541605417,0.0192085318091289,0.701571381756212
"GCN",2006,0.0350293457479236,0.00197610514920969,0.394719317369897
"GCN",2007,0.00595945375843043,0.00048450656598422,0.0460815953051786
"GCN",2008,0.029576045287664,0.00259418321441993,0.169363196437857
"GCN",2009,0.143329568542358,0.0147563552464858,0.593363885050145
"GCN",2010,0.212044132133092,0.0163776242851633,0.813955014198794
"GCN",2011,0.0945622348026004,0.00629129765405424,0.606768233897302
"GCN",2012,0.0930272783125715,0.0142990389351521,0.349531242518589
"GCN",2013,0.00595081594838211,0.000636645744973822,0.0316680181352907
"GCN",2014,0.0529666682506935,0.00190566729873555,0.556814231521164
"GCN",2015,0.0269524065786851,0.00214710662701255,0.172697562619518
"GCN",2016,0.0498570795347893,0.00254628366100845,0.505345472592374
"GCN",2017,0.0497008974673245,0.00193666122855578,0.427410951121505
"GCN",2018,0.0905559600516375,0.00662250627215128,0.583656730229897
"GCN",2019,0.136997178092274,0.01100853690975,0.65332804751087
"KYE",2006,0.0371016818142894,0.00257958612395556,0.328852376476303
"KYE",2007,0.112326977277862,0.00853248099883182,0.644924420408547
"KYE",2008,0.500008791364556,0.16836209076079,0.822940571055863
"KYE",2009,0.091927542454991,0.0117730844736538,0.464630508707135
"KYE",2010,0.437457904213341,0.0541463788660726,0.908344831276755
"KYE",2011,0.223397740423937,0.0211607866654715,0.794375289561801
"KYE",2012,0.0117381495919997,0.00131475618469931,0.0555194392309096
"KYE",2013,0.0174462946334945,0.00116212762976669,0.146891365258313
"KYE",2014,0.113426557829778,0.00495948166361135,0.768332376555345
"KYE",2015,0.0814895586598865,0.012888931054463,0.25758214629226
"KYE",2016,0.0203213111285352,0.00155380706031247,0.151589721830257
"KYE",2017,0.0803688558680696,0.00763698501737523,0.406656981177199
"KYE",2018,0.333343364411331,0.0352554300312757,0.839242175738209
"KYE",2019,0.355702292212675,0.0465986200092242,0.798244005424054
"LCE",2006,0.126975084389753,0.0222763523155569,0.402628633670772
"LCE",2007,0.489109096754278,0.117825903206798,0.823198469349926
"LCE",2008,0.186170567072235,0.0360587711690822,0.5493839639105
"LCE",2009,0.148333262890812,0.0122984709119654,0.639294695144725
"LCE",2010,0.0763035839928237,0.00668302954597745,0.438738790445741
"LCE",2011,0.152976625583276,0.0102898414839359,0.710876079790638
"LCE",2012,0.123615326120612,0.00967912811379636,0.67576830835811
"LCE",2013,0.114298959992501,0.0103591343594373,0.621539910713713
"LCE",2014,0.165485013681048,0.0113633444336874,0.742868217904424
"LCE",2015,0.108017192260323,0.011387584635484,0.483355576447234
"LCE",2016,0.498270069521701,0.0778550279352275,0.904356739905681
"LCE",2017,0.17889448563523,0.046355690602459,0.424031292796549
"LCE",2018,0.366816436308165,0.0539648717190949,0.842951166833159
"LCE",2019,0.0868038079670463,0.0105356491487275,0.438109401193395
"LCW",2006,0.11965074338471,0.0078163314859134,0.698286615999685
"LCW",2007,0.248190535314107,0.0202027564389301,0.840827355462465
"LCW",2008,0.0492435675168725,0.00556584823569878,0.326450134054281
"LCW",2009,0.0245487826858506,0.00198465619609818,0.240387105776859
"LCW",2010,0.273876593237382,0.0316516209104161,0.78919792613099
"LCW",2011,0.161592458487496,0.0155498535412049,0.667510869065708
"LCW",2012,0.0605334885848569,0.00367899184700139,0.580174105700346
"LCW",2013,0.0163547968774827,0.0014116373561477,0.113329798834133
